검거하다,to arrest,
결함이 있다,to have a defect,
고의,intention,
관계자,related persons,
괴한,suspicious person,
구속영장,arrest warrant,
근절하다,to root out (eradicate),
급발진,sudden unintended acceleration,
난동을 부리다,to rage about (act violently),
누명을 쓰다,to be accused falsely (unjustly),
대책,countermeasure,
마약사범,druggie,
목격자,eyewitness,
무면허,unlicensed,
및,as well as (and; it's a verbal /),
바람에 ,as a result of,
밝히다,to reveal,
방화,arson,
부상을 입다,to get injured,
불구속입건,indictment without detention,
붕괴,collapse,
교통 사고,Traffic accident,
충돌 (정면 충돌),Collision (head-on collision),
추돌,Rear end (collision),
뺑소니,Hit and run,
음주 운전,DUI,
혈중 알콜 농도,Blood Alcohol Content,
측정기 (측정하다),Measuring instrument (to measure),
운전 면허증,Driver’s License,
무면허,Unlicensed,
면허 정지,Suspension of license,
면허 취소,revocation of license,
익사,drown,
시내 버스,Intracity bus (stays in the same city),
시외 버스,Intercity bus,
고속 버스,express bus,
승합차,van,
승용차,Sedan,
트럭,Truck,
화물열차,freight train,
오토바이,Motorcycle,
폭주족,bike gang,
자전거,bicycle,
응급차 (응급 구조 차량),Ambulance (Emergency rescue car),
"운전자 (운전사, 운전 기사)",Professional Driver (operator [like bus]),
사고 원인,Cause of accident,
졸음 운전,Dose off while driving ,
동사,Frozen body,
과속 (속도 위반),speeding,
빙판길,Icy road,
빗길,Rainy road,
눈길,Snowy road,
중앙선 (중앙 분리대),Center line (center median),
제한 속도,Speed limit,
교통 단속,Traffic enforcement,
교통 통제 센타,Traffic Control Center,
교통 정체,A traffic jam,
안전띠를 매다,Fasten seatbelt ,
안전 벨트를 착용하다,Fasten seatbelt (lit. attach and use safety belt),
"전복 사고 (차량 전복, 어선 전복)","To flip over (vehicle, fishing boat)",
열차가 탈선하다,Train derails,
비행기 추락,Plane crash,
승무원,Crew member,
탑승자 승객,passenger,
여객기,Airliner (passenger plane),
항공사,Airline,
활주로,runway,
공항,airport,
비상 착륙,emergency landing,
착륙하다 –,To land (a plane) ,
이륙하다,Take off (departure),
"연착하다(되다),",Be late (for flights),
결항(되다),Cancelled (for flights),
자살,suicide,
투신 자살,Suicide by jumping,
음독 자살,poison oneself,
유서,Last will,
화재가 나다 (불이 나다),A fire breaks out,
방화,arson,
소화기,Fire extinguisher,
소방차,Fire truck (fire engine),
소방관,Firefighter,
소방서,Fire station,
구조 대원,Rescue worker,
구조 작업,Rescue operation,
출동하다,To mobilize,
누전,Short circuit,
누전 차단기,circuit breaker,
대피하다 –,To evacuate,
긴급 대피,Emergency evacuation,
전소하다 (되다),Total destruction by fire,
보험 (보험금),Insurance (money),
보험 사기,Insurance fraud,
의료 보험,Medical insurance ,
상해 보험,Accidental insurance,
생명 보험,life insurance,
사상자,Casualties (combined total of injured and dead),
부상자,Injured persons,
사망자,dead persons,
중상 (경상),Heavy injury (light injury),
화상,Burn injury,
중태,Critical condition,
응급실,emergency room,
중환자실,ICU,
생존자,survivors,
실종,Missing person,
미끄러지다,"Skid, slide",
폭발사고,explosion,
붕괴 사고 (무너지다),Collapse (to collapse),
기름 유출,Oil spill,
인명 피해 –,Human life damage (aka casualties),
재산 피해,property damage,
유괴,Kidnap,
납치,abduction,
협박 전화,Threatening call,
몸값,ransom,
찌르다,stab,
~혐의로,Suspicions/charge of ,
"검거하다 (구속하다, 체포하다)",arrest,
입건하다, To book a person on charge of ~,
영장 발부되다,Issue a warrant ,
도박 (상습 도박자),Gambling (compulsive gambler),
불법 복제,"Illegal cloning, ",
불법 환전,Illegal money exchange,
밀수 (밀입국),Smuggling (secretly enter country),
구속 기소하다,To prosecute with detention,
불구속 기소하다,To prosecute without detention,
마약,Illegal Drugs,
향정신성 ,psychotropic,
히로뽕,methamphetamine,
대마초,Marijuana,
병역 비리,Military corruption ,
청탁,Request,
로비스트,Lobbyist,
강력 범죄,Violent crimes,
강도,robbery,
강간,rape,
살인,murder,
연쇄 살인 (방화),Serial killer (serial arsonist),
도난 (절도),Theft,
금품을 털다,Rob of money and valuables,
강도,Mugging,
소매치기,Pickpocketing,
검문 (불심 검문),Inspection (random questioning),
"용의자, 혐의자",suspect,
목격자 (증인),Eyewitness (witness),
직접 증거,Direct evidence (concrete),
간접 증거,Indirect evidence (circumstantial),
수사,Investigation,
단속,crack down,
범행을 자백하다,To confess the crime,
범행을 부인하다,To deny the crime,
지문 조회 (지문 검식),Fingerprinting request (analysis),
구타하다 (때리다),"Hit (smack, beat, bop)",
징역,Prison labor,
집행 유예,probation,
공문서 위조,Forged documents,
위조 지폐,Counterfeit money,
"성폭행, ,",Sexual assault,
성추행,molestation,
성희롱,harassment,
부검,autopsy,
신병 확보,To secure the person,
보석,Bail,
보석금 신청,Bail money request,
전과자,Ex-convict,
횡령,Embezzlement ,
탈세,Tax evasion ,
부동산 투기 (땅 투기),Real estate liquidation,
병역 기피,Evasion of military,
판사,Judge,
변호사,lawyer,
검사,prosecutor,
원고,Plaintiff,
피고,defendant,
정착하다,to settle (fix),
빈고,freq,頻度
물로,of course,
살어름판,thin ice,
깨지다,to be broken,
력부족이다,to be beyond someone's ability,
육안으로,with naked eye,
떠있다,to float,
가장자리,edge,
얇아지다,to become thin,
견디다,to endure,
꺼지다,"to sink (of land to sink, like a cave in/sinkhole; of fire, put out)",
수심,depth of water,
인양하다,"to recover (a corpse, spec. from water)",
무심적,careless,
