수출,export,
수입,import,
낭비하다,waste,
물가,price of commodities,
가격,price (sino for 값),
물가 지수,,
소비,consumption,
공급,supply,
수요,demand,
수요고급,,
소비자,,
소득,,
지출,,
적자,,
흑자,,
중가하다,,
올라가다,,
늘어나다,,
감소하다,,
내려가다,,
줄어들다,,
사치하다,,
넉넉하다,,
충분하다,,
중동,,
모자라다,,
부족하다,,
신용카드,,
부체,,
빚,,
신용불량자,,
농업,,
농부,,
어업,,
수산업,,
어부,,
축산업,,
광업,,
공업,,
산업,,
제조업,,
서비스 산업,,
생필품,,
경제 성장 (률),,
보증금,,
선진국 (후~),,
경기 (좋다/나쁘다),,
호경기 (불~),,
호황 (불~),,
시장,,
도매 (소매),,
판매량 (~율),sales volume (rate of sales),販賣量 (~率)
취업하다,"to be hired (get a job, be employed)",就業하다
취직하다,"to get a job (be hired, be employed)",就職하다
모집하다,to collect (recruit),募集하다
고용하다,to employ,雇用하다
채용하다,to recruit,採用하다
"실업 (~률, ~자)","unemployment (~rate, ~person)","失業 (~率,~者)"
청년 실업자,unemployed young person,靑年 失業者
투자하다 (~자),to invest,投資하다 (投資社)
대기업,large company,大企業
재벌,conglomerate,財閥
중소기업,small and medium size businesses,中小企業
대졸 (고~),college graduate (high school graduate),大卒 (高卒)
상품 (商品),"products (goods, merchandise, commodity)",商品
상품 (上品),high quality product,上品
물건,goods,物件
생활비,living costs,生活費
교육비 (사~),education costs (private ~),敎育費 (私~)
과외비,private lesson fees,課外費
수입 (輸入),import (輸入),輸入
수입 (收入),income (收入),
봉급,"pay (salary, wage)",俸給
연봉,annual income,年俸
월급,monthly salary,月給
임금,wage (also pure for king),賃金
일당,daily wage,日當
활율,exchange rate,換率
환전 (소),currency exchange (location),換錢所
"비용 (외식비, 속박비, 식비)","cost (eating out expenses, ",費用
외식비,dineout expenses,外食費
속박비,lodging expense,宿泊費
식비,food expenses,食費
주거비,house expenses,住居費
집세,house rent,집貰
전세,lump sum lease (get some back after lease),傳貰
월세,monthly payment,月貰
주택,home loan (mortgage),住宅
아파트,apartment,
빌라,villa,
주상복합건물,"multipurpose building (store on first floor, house upstairs)",住商複合建物
콘도,condo,
팬션,pension (type of home),
세금,tax,稅金
소득세,income tax,所得稅
재산세,property tax,財産稅
세무조사,tax audit,稅務 調査
맞벌이 부부,double-income couple,맞벌이 夫婦
제품,goods,製品
품질,quality,品質
생산공장,manufacturing plant,生産工場
국산품,domestic made product,國産品
외제품,foreign made product,外製品
명품,brand name product,名品
공장,factory,工場
개방하다,to open (bus.-open to the public),開放하다
폐쇄하다,to close down (bus.-go out of business),閉鎖하다
용돈,allowance,用돈
인플레이션 (인플레),inflation,
대출을 받다,"to take out a loan (borrow, check out)",貸出을 받다
이자,interest,利子
금리,interest rate,金利
주택 자금용자,home loan (mortgage),住宅資金用者
주택자금대출회사,mortgage company,住宅資金貸出會社
알뜰하다,to be frugal (thrifty),
검소하다,to be frugal (thrifty; has 소),儉素하다
국가 경쟁력,country's competitive power,國家 競爭力
자본 (~주의),capital (capitalism),資本主義
